层,指标,指标计算,代表含义
L1 基本面层,从业年限,观测日 − 首次任职日（天数）,管理经验的积累程度；也为判断老经理是否形成思维定式提供基础
L1 基本面层,基金年龄,ln(基金存续月数),基金经受市场检验的时间；老基金有'幸存者溢价'，也可能受规模膨胀侵蚀
L1 基本面层,学历/院校/CFA,akshare 直接下载的分类变量,专业训练背景与资质认证（仅作控制变量，未做独立检验）
L2 认知层,风险承担不对称 RA,σ(盈利季收益) − σ(亏损季收益)，滚动8季窗口,盈利后风险偏好与亏损后风险偏好的差异，度量'赌资效应'强度
L2 认知层,处置效应 DE,PGR − PLR；PGR=盈利股中已实现卖出比例，PLR=亏损股中已实现卖出比例（Odean 1998）,持有亏损股过久、过早卖出盈利股的倾向；值越负越果断止损
L2 认知层,羊群效应 LSV,|p_j − p̄_t| − E[|p_j − p̄_t|]（LSV1992 含小样本修正项；等价写法 mean_i(|p_i−p̄_t|−AF_t)）,与同行协同买卖的程度，度量从众行为（信息瀑布/职业担忧）。实证双口径：截面+0.101(t=1.64)不显著；组内FE(N=2668)−0.191(t=−3.08***)显著负——基金内部羊群度上升侵蚀收益，但被基金层面异质性掩盖于截面，属口径依赖信号
L3 选择层,改进主动份额 AS,"½ × Σ_i |w_基金,i − w_基准,i|，基准=沪深300+中证500合并成分股",组合偏离基准的程度，区分'真主动选股'与'复制指数'
L3 选择层,行业集中度 ICI,"Σ_i (w_行业,i − w_市场,i)²，w_市场为全市场行业权重",在行业层面相对市场的方向性押注强度
L3 选择层,行业分散度 HHI,Σ_i w_i²（各行业权重平方和）,行业配置的绝对集中水平，密集投资还是广泛撒网
L3 选择层,行业风格漂移 ISDI,31个申万一级行业按Beta（与市场涨跌幅相关性）分为高/中/低弹性三组，基金每期重仓股归组后取组权重向量，ISDI=相邻报告期权重向量的曼哈顿距离,高beta（进攻）与低beta（防御）行业间的轮动频繁度；与SDI（净值风格漂移）互补，看配置行为而非结果风格
L4 执行风控层,风格漂移 SDI,净值对规模×价值/成长四宫格指数滚动回归 → 相邻期风格权重的曼哈顿距离,投资风格跨期变化的幅度，策略稳定性的度量
L4 执行风控层,换手率 TO,(买入额 + 卖出额) / (2 × 平均净资产)，双边口径,交易频繁度，直接影响佣金、印花税与冲击成本
L4 执行风控层,过度交易指数 OCI,(TO − 经理自身历史均值) / 自身标准差,剔除策略性高换手后的'行为性过度交易'，经理间可比
L4 执行风控层,调仓收益 ARG,Σ_t |RG_t|，RG_t = 当期实际净值收益 − 上期披露持仓的模拟收益,净值超出披露持仓可解释部分的累计强度 = 未观测主动行动（调仓/隐性交易）的密度
L4 执行风控层,收益波动率 RV,季度收益滚动8期标准差,选股、择时、仓位共同作用的综合风险结果
