股票代码,公司名称,行业分类,持股权重(%),市值(亿美元),首次买入年份,持有年限(年),投资逻辑与行为特征
AAPL,苹果公司 (Apple Inc.),信息技术·消费电子,28.5,760.8,2016,9,护城河极宽、强品牌忠诚度、极高自由现金流与巨额股票回购
AXP,美国运通 (American Express),金融·高端支付网络,14.8,395.2,1993,32,超长持有、封闭网络高端客群、逆向危机入局（沙拉油丑闻/90年代转型）
BAC,美国银行 (Bank of America),金融·商业银行,11.2,299.0,2011,14,2011年次贷危机后逆向注资50亿美元优先股转普通股，低成本存款优势
KO,可口可乐 (Coca-Cola),必选消费·非酒精饮料,10.4,277.7,1988,37,1987股灾后重仓买入，全球心智垄断，股息率覆盖原始本金数倍，从未卖出一股
CVX,雪佛龙 (Chevron Corp.),传统能源·综合石油天然气,6.8,181.6,2020,5,高股息、强资本开支纪律、对冲地缘与通胀风险
OXY,西方石油 (Occidental Petroleum),传统能源·油气勘探开采,5.4,144.2,2019,6,二叠纪盆地低成本资产、极具进攻性的管理层与优先股分红条款
MCO,穆迪公司 (Moody's),金融·信用评级寡头,3.9,104.1,2000,25,双寡头监管护城河，资本开支极低（轻资产），提价权极强
KHC,卡夫亨氏 (Kraft Heinz),必选消费·包装食品,3.4,90.8,2013,12,与3G资本联合控股，知名消费品品牌矩阵，高现金分红
CB,安达保险 (Chubb Limited),金融·财产险/商业险,2.7,72.1,2023,2,承保纪律极强的高端商业财险龙头，浮存金协同效应
DVA,德维特 (DaVita Inc.),医疗保健·透析服务,1.8,48.0,2011,14,美国肾脏透析双寡头之一，刚性医疗需求与高患者粘性
