file,category,size,verified,verdict_note,archived_to
19世纪后期英国煤矿事故家庭的经济保障机制.pdf,IRRELEVANT,1854403,integrity-only,"PDF完整性通过,未做内容关键词验证",
2006—2020年《中国感染与化疗杂志》零被引论文特征分析.pdf,IRRELEVANT,1141137,integrity-only,"PDF完整性通过,未做内容关键词验证",
2006—2020年《中国感染与化疗杂志》高被引论文特征分析.pdf,IRRELEVANT,1165308,integrity-only,"PDF完整性通过,未做内容关键词验证",
BrownHarlowStarks1996.pdf,CORE_INTL,3132480,YES,"目视确认:JSTOR,JF51(1):85-110",L4_风险应对层/03_Brown_Harlow_Starks_1996_Tournaments_JF.pdf
Cinelli and Hazlett (2020) - Making Sense of Sensitivity.pdf,CORE_INTL,811753,YES,文本验证4/4,M_方法论与识别检验/11_Cinelli_Hazlett_2020_Sensitivity_JRSSB.pdf
ESG投资提高了基金业绩吗？——兼论ESG投资对“业绩-资金流量关系”的影响.pdf,CN_PERF_BEHAVIOR,859439,integrity-only,"PDF完整性通过,未做内容关键词验证",
Fama-French_JFE93.pdf,CORE_INTL,3486088,YES,文本验证:标题/作者匹配,M_方法论与识别检验/06_Fama_French_1993_CommonRiskFactors_JFE.pdf
Fama-MacBeth-Risk-return-and-equilibrium-Empirical-tests-1973.pdf,CORE_INTL,827765,YES,文本验证5/5,M_方法论与识别检验/07_Fama_MacBeth_1973_JPE.pdf
Herding_020109.pdf,CORE_INTL,300480,YES,文本验证:实为Gutierrez-Kelley(2009),L5_认知行为层/24_Gutierrez_Kelley_2009_InstitutionalHerding_WP.pdf
Jegadeesh_Titman_1993.pdf,CORE_INTL,736136,YES,文本验证5/5,M_方法论与识别检验/08_Jegadeesh_Titman_1993_Momentum_JF.pdf
Mert81.pdf,CORE_INTL,4302361,YES,"目视确认:JSTOR,JB54(3):363-406",M_方法论与识别检验/05_Merton_1981_MarketTiming_JB.pdf
QFII与境内机构投资者羊群行为的实证研究.pdf,CN_HERDING,507823,integrity-only,"PDF完整性通过,未做内容关键词验证",
QFII在中国证券市场的“羊群行为”研究.pdf,CN_HERDING,690568,integrity-only,"PDF完整性通过,未做内容关键词验证",
The Journal of Finance - 2002 - Wermers - Mutual Fund Herding and the Impact on Stock Prices.pdf,CORE_INTL,289743,YES,文本验证3/3+元数据标题,L5_认知行为层/25_Wermers_1999_MutualFundHerding_JF.pdf
carhart1997.pdf,CORE_INTL,1908748,YES,文本验证4/4,M_方法论与识别检验/09_Carhart_1997_Persistence_JF.pdf
