维度,指标,定向符号,主引文献序号,文献依据说明,主引文献
L1 基本面层,mgr_total_tenure_v2 任职年限,-,26,Chevalier & Ellison (1999) 经验悖论与职业顾虑：新任经理更努力，激励随任期衰减；本样本单变量 t=−1.85*,"CHEVALIER J, ELLISON G. Career concerns of mutual fund managers[J]. The Quarterly Journal of Economics, 1999, 114(2): 389-432."
L1 基本面层,log_fund_age log 基金年龄,-,62,Berk & Green (2004) 理性市场模型：业绩吸引资金流入，规模膨胀与组织老化侵蚀 alpha（新基金效应）；本样本单变量 t=−4.13***,"BERK J B, GREEN R C. Mutual fund flows and performance in rational markets[J]. Journal of Political Economy, 2004, 112(5): 1269-1295."
L1 基本面层,log_aum log 基金规模,-,62,Berk & Green (2004) 规模不经济：规模膨胀稀释超额收益；本样本单变量 t=−1.16（方向一致）,"BERK J B, GREEN R C. Mutual fund flows and performance in rational markets[J]. Journal of Political Economy, 2004, 112(5): 1269-1295."
L2 认知能力,risk_asym 风险偏好不对称性,+,1,Kahneman & Tversky (1979) 前景理论：损失域与收益域的风险态度不对称,"KAHNEMAN D, TVERSKY A. Prospect theory: an analysis of decision under risk[J]. Econometrica, 1979, 47(2): 263-292."
L2 认知能力,de 处置效应,-,15,Shefrin & Statman (1985) 提出处置效应；Odean (1998)=[16] 给出实证测度,"SHEFRIN H, STATMAN M. The disposition to sell winners too early and ride losers too long: theory and evidence[J]. The Journal of Finance, 1985, 40(3): 777-790."
L2 认知能力,oc_conf 过度自信（换手×过度交易）,-,59,Puetz & Ruenzi (2011) 以业绩后换手率上升识别基金经理过度自信；Gervais & Odean (2001)=[13] 提供理论,"PUETZ A, RUENZI S. Overconfidence among professional investors: evidence from mutual fund managers[J]. Journal of Business Finance & Accounting, 2011, 38(5-6): 684-712."
L3 配置选择能力,ICI 行业集中度,+,30,"Kacperczyk, Sialm & Zheng (2005) 行业集中度衡量主动配置信息优势","KACPERCZYK M, SIALM C, ZHENG L. On the industry concentration of actively managed equity mutual funds[J]. The Journal of Finance, 2005, 60(4): 1983-2011."
L3 配置选择能力,ISDI 行业风格漂移指数,-,58,Chen & Wei (2025) 提出基于行业配置的漂移测度；Wermers (2012)=[57] 为方法论源头,"CHEN Y, WEI H. Fund style drift and fund performance: evidence from China[J]. PLoS ONE, 2025, 20(2): e0316932."
L4a 风险应对能力,ARG 调仓收益,+,60,"Kacperczyk, Sialm & Zheng (2008) return gap：持仓外的未观测调仓贡献","KACPERCZYK M, SIALM C, ZHENG L. Unobserved actions of mutual funds[J]. The Review of Financial Studies, 2008, 21(6): 2379-2416."
L4a 风险应对能力,timing 下行保护系数（−HM γ）,+,45,Henriksson & Merton (1981) 分段市场择时检验；Treynor & Mazuy (1966)=[61] 为二次项前身,"HENRIKSSON R D, MERTON R C. On market timing and investment performance. II. Statistical procedures for evaluating forecasting skills[J]. The Journal of Business, 1981, 54(4): 513-533."
L4b 风险转化能力,mppm8_lag 抗操纵绩效测度,+,52,Goetzmann et al. (2007) 操纵稳健业绩测度，规避择时/期权化操纵,"GOETZMANN W N, INGERSOLL J, SPIEGEL M, WELCH I. Portfolio performance manipulation and manipulation-proof performance measures[J]. The Review of Financial Studies, 2007, 20(5): 1503-1546."
L4b 风险转化能力,sortino8_lag Sortino 比率,+,53,"Sortino & Price (1994) 下行风险框架下的绩效测度；Ang, Chen & Xing (2006)=[39] 提供下行风险定价依据","SORTINO F A, PRICE L N. Performance measurement in a downside risk framework[J]. The Journal of Investing, 1994, 3(3): 59-64."
L4b 风险转化能力,sharpe8_lag Sharpe 比率,+,54,Sharpe (1966) 总风险调整后收益基准参照,"SHARPE W F. Mutual fund performance[J]. The Journal of Business, 1966, 39(1): 119-138."
L5 交易执行能力,SDI 策略偏离指数,-,57,Wermers (2012) 风格漂移的离散度刻画,"WERMERS R. A matter of style: the causes and consequences of style drift in institutional portfolios[R]. Working Paper, University of Maryland, 2012."
L5 交易执行能力,lsv 交易趋同度,+,34,"Lakonishok, Shleifer & Vishny (1992) LSV 羊群度量；Wermers (1999)=[31] 给出基金层应用","LAKONISHOK J, SHLEIFER A, VISHNY R W. The impact of institutional trading on stock prices[J]. Journal of Financial Economics, 1992, 32(1): 23-43."
